lat_grid,lon_grid,pickup_count,month
40.741,-73.989,294,August
40.707,-74.005,294,April
40.727,-73.989,294,April
40.715,-74.015,294,July
40.736,-74.007,294,July
40.775,-73.99,294,July
40.761,-73.983,294,July
40.733,-74.005,293,July
40.761,-73.991,293,July
40.726,-73.995,293,April
40.739,-74.007,293,April
40.761,-73.97,293,April
40.745,-73.983,293,August
40.646,-73.789,293,August
40.729,-74.003,293,August
40.738,-74.006,293,August
40.765,-73.971,293,August
40.708,-74.009,293,August
40.736,-74.002,293,August
40.728,-74.001,293,August
40.744,-73.983,293,August
40.749,-73.993,292,August
40.76,-73.975,292,August
40.735,-74.009,292,August
40.739,-73.991,292,April
40.766,-73.983,292,July
40.731,-73.993,292,July
40.729,-74.002,292,July
40.729,-73.984,292,July
40.757,-73.985,292,July
40.723,-73.988,291,July
40.738,-73.986,291,July
40.743,-73.973,291,July
40.728,-73.999,291,April
40.763,-73.969,291,April
40.778,-73.989,291,July
40.688,-74.181,291,July
40.751,-73.983,291,August
40.733,-73.987,291,August
40.753,-73.987,290,August
40.709,-74.014,290,August
40.745,-73.993,290,August
40.715,-74.011,290,August
40.733,-74.006,290,July
40.708,-74.005,290,July
40.649,-73.783,290,July
40.742,-73.999,290,July
40.756,-73.968,290,July
40.754,-73.98,290,April
40.758,-73.985,290,April
40.73,-73.994,289,April
40.725,-73.996,289,April
40.741,-73.994,289,April
40.738,-74,289,April
40.72,-73.987,289,April
40.763,-73.98,289,July
40.738,-74.002,289,July
40.716,-74.013,289,July
40.767,-73.979,289,August
40.712,-74.008,289,August
40.715,-73.992,289,August
40.734,-74.004,289,August
40.72,-74.004,289,August
40.724,-73.991,288,August
40.753,-73.97,288,August
40.736,-74.008,288,July
40.755,-74,288,July
40.747,-73.982,288,July
40.751,-73.979,288,April
40.754,-73.985,288,April
40.751,-73.985,288,July
40.762,-73.987,288,July
40.751,-73.982,288,July
40.74,-73.992,287,July
40.765,-73.961,287,July
40.746,-73.991,287,July
40.703,-74.011,287,July
40.703,-73.99,287,July
40.757,-73.985,287,April
40.726,-74.002,287,April
40.756,-73.974,287,August
40.725,-74.004,287,August
40.722,-73.994,287,August
40.75,-73.987,286,August
40.746,-73.991,286,August
40.748,-74.006,286,August
40.772,-73.982,286,August
40.748,-73.977,286,August
40.744,-73.995,286,August
40.755,-73.988,286,April
40.726,-74.005,286,April
40.751,-73.974,286,April
40.735,-74.009,286,April
40.763,-73.973,286,April
40.767,-73.979,286,July
40.736,-73.979,286,July
40.736,-74.004,286,July
40.75,-74.005,286,July
40.727,-73.995,286,July
40.743,-73.994,286,July
40.748,-73.974,285,July
40.762,-73.985,285,July
40.756,-73.974,285,April
40.722,-73.993,285,April
40.74,-73.987,285,April
40.758,-73.974,285,April
40.743,-73.989,285,April
40.716,-74.007,285,April
40.727,-74.002,285,April
40.716,-74.009,285,April
40.736,-74.001,285,July
40.741,-73.988,285,August
40.757,-73.973,285,August
40.748,-73.983,284,August
40.717,-74.015,284,August
40.729,-74.007,284,August
40.765,-73.964,284,July
40.764,-73.972,284,July
40.734,-74.005,284,April
40.736,-74.002,284,April
40.743,-73.996,283,April
40.743,-73.986,283,April
40.758,-73.979,283,April
40.723,-73.995,283,April
40.724,-73.999,283,July
40.716,-74.004,283,July
40.763,-73.968,283,July
40.758,-73.987,283,August
40.734,-74,283,August
40.779,-73.956,283,August
40.717,-74.008,283,August
40.729,-73.98,283,August
40.779,-73.962,282,August
40.758,-73.99,282,August
40.716,-74.011,282,August
40.734,-73.978,282,August
40.732,-74.003,282,August
40.739,-73.991,282,August
40.743,-73.991,282,August
40.725,-73.978,282,August
40.742,-73.981,282,August
40.755,-73.979,282,August
40.761,-73.968,282,July
40.762,-73.968,282,April
40.765,-73.982,282,April
40.747,-73.991,282,April
40.725,-74.009,281,April
40.688,-74.183,281,April
40.739,-74.007,281,July
40.768,-73.962,281,July
40.745,-73.981,281,July
40.763,-73.976,281,July
40.74,-73.989,281,July
40.71,-73.963,281,July
40.749,-74.006,281,July
40.776,-73.956,281,August
40.72,-73.995,281,August
40.76,-73.995,281,August
40.706,-74.017,281,August
40.738,-73.993,281,August
40.74,-74.005,280,August
40.763,-73.983,280,August
40.74,-73.989,280,August
40.644,-73.783,280,July
40.742,-73.989,280,April
40.756,-73.97,280,April
40.761,-73.998,280,July
40.727,-74.001,279,July
40.758,-73.972,279,April
40.74,-74.003,279,August
40.716,-74.007,279,August
40.738,-73.984,279,August
40.73,-73.994,279,August
40.743,-73.995,279,August
40.738,-73.983,278,August
40.727,-73.995,278,August
40.761,-73.968,278,August
40.738,-74,278,August
40.738,-73.981,278,August
40.76,-73.98,278,August
40.719,-74.002,278,August
40.76,-73.985,278,April
40.733,-74,278,April
40.75,-73.994,278,April
40.737,-74.002,278,April
40.748,-74.005,278,April
40.747,-73.984,278,July
40.754,-73.982,278,July
40.763,-73.975,277,April
40.737,-73.997,277,April
40.739,-74.003,277,April
40.733,-73.997,277,April
40.75,-73.981,277,July
40.748,-73.983,277,July
40.737,-74.002,277,July
40.764,-73.97,277,July
40.757,-73.969,277,July
40.772,-73.989,277,August
40.717,-74.002,276,August
40.727,-73.985,276,August
40.733,-74.006,276,August
40.751,-73.975,276,August
40.763,-73.975,276,August
40.758,-73.99,276,July
40.738,-73.984,276,July
40.749,-73.977,276,July
40.722,-73.984,276,July
40.741,-73.992,276,April
40.728,-74.003,276,April
40.748,-73.989,275,April
40.722,-73.994,275,April
40.72,-73.995,275,July
40.704,-73.987,275,August
40.755,-73.992,275,August
40.708,-74.002,274,August
40.757,-73.993,274,August
40.724,-73.999,274,August
40.747,-73.987,274,August
40.724,-73.983,274,August
40.706,-74.007,274,July
40.729,-73.989,274,July
40.732,-73.993,274,July
40.755,-73.968,274,July
40.744,-73.975,274,July
40.735,-74.01,274,April
40.721,-73.987,274,April
40.702,-73.987,274,July
40.751,-74.002,274,July
40.751,-73.978,273,July
40.722,-74.003,273,July
40.735,-73.99,273,July
